,medal_type,country_code,discipline,code_athlete
803,Bronze,RSA,Rugby Sevens,1574118
804,Bronze,RSA,Rugby Sevens,1574119
805,Bronze,RSA,Rugby Sevens,1574112
806,Gold,CHN,Shooting,1913945
807,Gold,CHN,Shooting,1913899
808,Silver,KOR,Shooting,1893896
809,Silver,KOR,Shooting,1893976
810,Bronze,KAZ,Shooting,1930466
811,Bronze,KAZ,Shooting,1930467
812,Gold,USA,Swimming,1935916
813,Gold,USA,Swimming,1935933
814,Gold,USA,Swimming,1935871
815,Gold,USA,Swimming,1935896
816,Gold,USA,Swimming,1935869
817,Gold,USA,Swimming,1935911
818,Silver,AUS,Swimming,1946186
819,Silver,AUS,Swimming,1946235
820,Silver,AUS,Swimming,1946179
821,Silver,AUS,Swimming,1946200
