,code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date
9986,1968116,True,FONSECA Ruy,FONSECA R,Ruy FONSECA,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1973-06-09
9987,1968118,True,de FREITAS BARCHA Stephan,BARCHA Stephan,Stephan de FREITAS BARCHA,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1989-10-27
9988,1968125,True,MANSUR Yuri,MANSUR Y,Yuri MANSUR,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1979-05-24
9989,1968185,True,NARANJO Sol,NARANJO S,Sol NARANJO,Female,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0.0,0.0,['Modern Pentathlon'],"[""Women's Individual""]",2007-08-17
9990,1968201,True,TORRES Andres,TORRES A,Andres TORRES,Male,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0.0,0.0,['Modern Pentathlon'],"[""Men's Individual""]",2000-12-01
9991,1968205,True,FALANIKO Faafoi,FALANIKO F,Faafoi FALANIKO,Male,Athlete,SAM,Samoa,Samoa,Samoa,Samoa,SAM,176.0,94.0,['Rugby Sevens'],['Men'],2002-03-14
9992,1968215,True,ABEYSINGHE Kyle,ABEYSINGHE K,Kyle ABEYSINGHE,Male,Athlete,SRI,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,SRI,0.0,0.0,['Swimming'],"[""Men's 100m Freestyle""]",2000-02-04
9993,1968219,True,NEPAL Sushmita,NEPAL S,Sushmita NEPAL,Female,Athlete,NEP,Nepal,Nepal,Nepal,Nepal,NEP,0.0,0.0,['Shooting'],['10m Air Rifle Women'],2000-10-03
9994,1968222,True,SENAVIRATHNE Ganga,SENAVIRATHNE G,Ganga SENAVIRATHNE,Female,Athlete,SRI,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,SRI,0.0,0.0,['Swimming'],"[""Women's 100m Backstroke""]",2003-05-27
9995,1968256,True,KLAMER Rachel,KLAMER R,Rachel KLAMER,Female,Athlete,NED,Netherlands,Netherlands,Netherlands,Netherlands,NED,0.0,0.0,['Triathlon'],"[""Women's Individual""]",1990-10-08
